Altoe
Sossai
Agrizzi
De Angeli
Ferreira
da Silva
Della Coletta
Zampirolli
Fernandes
Braga
Alves
Costalonga
Botteon
Caliman
de Oliveira
Zanette
Salvador
Silva
Pesca
Zandonadi
Tosi
da Costa
Gomes
Calmon
de Souza
Sossai detto Pegorer
de Almeida
Pereira
Falqueto
Martins
